ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15M7W65X4,FBA STA (24/08/2026 13:25)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79991,X002IK70C9,153,0,0
FBA15M7PKG44,FBA STA (25/08/2026 05:37)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79570,X0025R19UT,300,0,0
FBA15M7PKGZL,FBA STA (25/08/2026 05:38)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79570,X0025R19UT,300,0,0
FBA15M7X0CYD,FBA STA (25/08/2026 05:46)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79590,X00263BT43,360,0,0
FBA15M7ZQ6YF,FBA STA (25/08/2026 05:48)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79590,X00263BT43,360,0,0
FBA15M7Y9G08,FBA STA (25/08/2026 05:54)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79991,X002IK70C9,153,0,0
FBA15M7X0RLP,FBA STA (25/08/2026 05:54)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79991,X002IK70C9,153,0,0
FBA15M8F6PZ9,FBA STA (26/08/2026 05:45)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79439,X0023KW3JJ,320,0,0
FBA15M8F6PZ9,FBA STA (26/08/2026 05:45)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79573,X0025R5BTT,150,0,0
FBA15M85PS4H,FBA STA (26/08/2026 06:42)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M8G25JQ,FBA STA (26/08/2026 06:45)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M8G297K,FBA STA (26/08/2026 06:46)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M8GYQN4,FBA STA (26/08/2026 06:48)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
